group,domain,n,metric,higher_is_better,baseline,arm,baseline_mean,arm_mean,delta,ci_lo,ci_hi,p
unseen,evacuation_shelter,31,forced_routes,False,vanilla,coevolved,0.354839,1.548387,1.193548,0.709677,1.741935,0.0
unseen,evacuation_shelter,31,route_decisions,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,evacuation_shelter,31,route_reward,True,vanilla,coevolved,0.095403,0.724087,0.628684,0.518335,0.729787,0.0
unseen,evacuation_shelter,31,wall_time,False,vanilla,coevolved,526.316129,941.448387,415.132258,381.919355,442.809677,0.0
unseen,literature_replication,5,checks_frac,True,vanilla,coevolved,0.0,0.39,0.39,0.25,0.61,0.001
unseen,literature_replication,5,checks_passed,True,vanilla,coevolved,0.0,1.8,1.8,1.0,3.0,0.0025
unseen,literature_replication,5,success,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,literature_replication,5,content_passed,True,vanilla,coevolved,0.0,0.6,0.6,0.2,1.0,0.01
unseen,literature_replication,5,prov_passed,True,vanilla,coevolved,0.0,1.2,1.2,0.2,2.6,0.073
unseen,literature_replication,5,reveals,True,vanilla,coevolved,0.0,3.4,3.4,3.0,3.8,0.0
unseen,literature_replication,5,decisive_revealed,True,vanilla,coevolved,0.0,3.4,3.4,3.0,3.8,0.0
unseen,literature_replication,5,settled,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,literature_replication,5,turns_to_settle,False,vanilla,coevolved,1.0,4.6,3.6,3.2,4.0,0.0
unseen,literature_replication,5,turns_used,False,vanilla,coevolved,1.0,4.6,3.6,3.2,4.0,0.0
unseen,literature_replication,5,routing_precision,True,vanilla,coevolved,0.0,1.0,1.0,1.0,1.0,0.0
unseen,literature_replication,5,route_invalid,False,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,literature_replication,5,insight_private_leak_max,False,vanilla,coevolved,0.05488,0.01052,-0.04436,-0.15,0.01692,0.575
unseen,literature_replication,5,insight_slot_frac,True,vanilla,coevolved,0.8,0.6,-0.2,-0.6,0.0,0.588
unseen,literature_replication,5,train_reward,True,vanilla,coevolved,0.0,0.49134,0.49134,0.33468,0.648,0.0
unseen,literature_replication,5,content_total,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,literature_replication,5,prov_total,True,vanilla,coevolved,3.4,3.4,0.0,0.0,0.0,1.0
unseen,literature_replication,5,checks_total,True,vanilla,coevolved,4.4,4.4,0.0,0.0,0.0,1.0
unseen,literature_replication,5,decisive_total,True,vanilla,coevolved,3.4,3.4,0.0,0.0,0.0,1.0
unseen,literature_replication,5,routing_hits,True,vanilla,coevolved,0.0,3.4,3.4,3.0,3.8,0.0
unseen,literature_replication,5,routing_opportunities,True,vanilla,coevolved,1.0,3.4,2.4,2.0,2.8,0.0
unseen,literature_replication,5,forced_routes,False,vanilla,coevolved,0.0,1.2,1.2,1.0,1.6,0.0
unseen,literature_replication,5,route_decisions,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,literature_replication,5,route_reward,True,vanilla,coevolved,0.0,0.66134,0.66134,0.50468,0.818,0.0
unseen,literature_replication,5,wall_time,False,vanilla,coevolved,573.8,1077.5,503.7,503.7,503.7,0.0
unseen,logistics_delivery,10,checks_frac,True,vanilla,coevolved,0.14,0.285,0.145,-0.02,0.325,0.1195
unseen,logistics_delivery,10,checks_passed,True,vanilla,coevolved,0.7,1.4,0.7,-0.1,1.6,0.1595
unseen,logistics_delivery,10,success,True,vanilla,coevolved,0.0,0.0,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,content_passed,True,vanilla,coevolved,0.5,0.7,0.2,0.0,0.5,0.2195
unseen,logistics_delivery,10,prov_passed,True,vanilla,coevolved,0.2,0.7,0.5,-0.3,1.5,0.3335
unseen,logistics_delivery,10,reveals,True,vanilla,coevolved,1.7,3.9,2.2,1.1,3.3,0.0
unseen,logistics_delivery,10,decisive_revealed,True,vanilla,coevolved,1.7,3.9,2.2,1.1,3.3,0.0
unseen,logistics_delivery,10,settled,True,vanilla,coevolved,1.0,1.0,0.0,0.0,0.0,1.0
unseen,logistics_delivery,10,turns_to_settle,False,vanilla,coevolved,4.1,5.3,1.2,-0.7,3.1,0.2605
unseen,logistics_delivery,10,turns_used,False,vanilla,coevolved,4.1,5.3,1.2,-0.7,3.1,0.2605
unseen,logistics_delivery,10,routing_precision,True,vanilla,coevolved,0.27142,1.0,0.72858,0.54763,0.9,0.0
